pathID	path.name
mmu04974	Protein digestion and absorption
mmu04975	Fat digestion and absorption
mmu04979	Cholesterol metabolism
mmu04977	Vitamin digestion and absorption
mmu04978	Mineral absorption
mmu04962	Vasopressin-regulated water reabsorption
mmu04960	Aldosterone-regulated sodium reabsorption
mmu04961	Endocrine and other factor-regulated calcium reabsorption
mmu04964	Proximal tubule bicarbonate reclamation
mmu04966	Collecting duct acid secretion
mmu04724	Glutamatergic synapse
mmu04727	GABAergic synapse
mmu04725	Cholinergic synapse
mmu04728	Dopaminergic synapse
mmu04726	Serotonergic synapse
mmu04720	Long-term potentiation
mmu04730	Long-term depression
mmu04723	Retrograde endocannabinoid signaling
mmu04721	Synaptic vesicle cycle
mmu04722	Neurotrophin signaling pathway
mmu04744	Phototransduction
mmu04740	Olfactory transduction
mmu04742	Taste transduction
mmu04750	Inflammatory mediator regulation of TRP channels
mmu04360	Axon guidance
mmu04380	Osteoclast differentiation
mmu04211	Longevity regulating pathway
mmu04213	Longevity regulating pathway - multiple species
mmu04710	Circadian rhythm
mmu04713	Circadian entrainment
mmu04714	Thermogenesis
mmu05200	Pathways in cancer
mmu05202	Transcriptional misregulation in cancer
mmu05206	MicroRNAs in cancer
mmu05205	Proteoglycans in cancer
mmu05204	Chemical carcinogenesis
mmu05203	Viral carcinogenesis
mmu05230	Central carbon metabolism in cancer
mmu05231	Choline metabolism in cancer
mmu05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
mmu05210	Colorectal cancer
mmu05212	Pancreatic cancer
mmu05225	Hepatocellular carcinoma
mmu05226	Gastric cancer
mmu05214	Glioma
mmu05216	Thyroid cancer
mmu05221	Acute myeloid leukemia
mmu05220	Chronic myeloid leukemia
mmu05217	Basal cell carcinoma
mmu05218	Melanoma
mmu05211	Renal cell carcinoma
mmu05219	Bladder cancer
mmu05215	Prostate cancer
mmu05213	Endometrial cancer
mmu05224	Breast cancer
mmu05222	Small cell lung cancer
mmu05223	Non-small cell lung cancer
mmu05310	Asthma
mmu05322	Systemic lupus erythematosus
mmu05323	Rheumatoid arthritis
mmu05320	Autoimmune thyroid disease
mmu05321	Inflammatory bowel disease (IBD)
mmu05330	Allograft rejection
mmu05332	Graft-versus-host disease
mmu05340	Primary immunodeficiency
mmu05010	Alzheimer disease
mmu05012	Parkinson disease
mmu05014	Amyotrophic lateral sclerosis (ALS)
mmu05016	Huntington disease
mmu05020	Prion diseases
mmu05030	Cocaine addiction
mmu05031	Amphetamine addiction
mmu05032	Morphine addiction
mmu05033	Nicotine addiction
mmu05034	Alcoholism
mmu05418	Fluid shear stress and atherosclerosis
mmu05410	Hypertrophic cardiomyopathy (HCM)
mmu05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
mmu05414	Dilated cardiomyopathy (DCM)
mmu05416	Viral myocarditis
mmu04930	Type II diabetes mellitus
mmu04940	Type I diabetes mellitus
mmu04950	Maturity onset diabetes of the young
mmu04932	Non-alcoholic fatty liver disease (NAFLD)
mmu04931	Insulin resistance
mmu04933	AGE-RAGE signaling pathway in diabetic complications
mmu04934	Cushing syndrome
mmu05132	Salmonella infection
mmu05135	Yersinia infection
mmu05133	Pertussis
mmu05134	Legionellosis
mmu05150	Staphylococcus aureus infection
mmu05152	Tuberculosis
mmu05100	Bacterial invasion of epithelial cells
mmu05166	Human T-cell leukemia virus 1 infection
mmu05170	Human immunodeficiency virus 1 infection
mmu05162	Measles
mmu05164	Influenza A
mmu05161	Hepatitis B
mmu05160	Hepatitis C
mmu05168	Herpes simplex virus 1 infection
mmu05163	Human cytomegalovirus infection
mmu05167	Kaposi sarcoma-associated herpesvirus infection
mmu05169	Epstein-Barr virus infection
mmu05165	Human papillomavirus infection
mmu05146	Amoebiasis
mmu05144	Malaria
mmu05145	Toxoplasmosis
mmu05140	Leishmaniasis
mmu05142	Chagas disease (American trypanosomiasis)
mmu05143	African trypanosomiasis
mmu01521	EGFR tyrosine kinase inhibitor resistance
mmu01524	Platinum drug resistance
mmu01523	Antifolate resistance
mmu01522	Endocrine resistance
